MONTHLY MEAN CENTRAL ENGLAND TEMPERATURE (DEGREES C)                                     
1659-1973 MANLEY (Q.J.R.METEOROL.SOC., 1974)                                             
1974 ON PARKER ET AL. (INT.J.CLIM., 1992)                                                
PARKER AND HORTON (INT.J.CLIM., 2005)                                                    
                                                                                         
                                                                                         
           JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC     YEAR
 1901      3.5   2.3   4.1   8.6  11.5  13.9  18.0  15.6  13.9   9.7   4.8   3.4     9.15
 1902      4.7   1.5   6.7   7.5   8.9  13.9  14.7  14.3  12.8   9.6   6.8   4.6     8.88
 1903      4.2   7.1   7.1   6.4  11.1  13.0  15.3  14.3  13.1  10.5   6.4   3.3     9.33
 1904      4.1   3.4   4.3   8.7  10.9  13.3  17.1  15.1  12.5   9.7   5.2   3.7     9.02
 1905      3.6   5.2   6.8   7.3  10.8  14.7  17.2  14.7  12.4   7.1   4.9   4.9     9.16
 1906      5.3   3.1   5.1   7.3  10.5  14.3  15.8  16.7  13.9  10.9   7.3   3.0     9.47
 1907      3.6   2.8   6.3   7.6  10.5  12.4  14.1  14.3  13.6   9.8   6.5   4.6     8.88
 1908      2.5   5.3   4.3   6.0  12.4  14.3  15.8  14.6  12.9  11.8   7.4   3.9     9.28
 1909      3.5   2.9   3.7   8.7  11.0  11.8  14.6  15.4  11.9  10.4   4.8   3.9     8.59
 1910      3.5   5.1   6.1   7.3  11.2  14.7  14.2  15.2  12.5  10.6   3.2   6.4     9.20
 1911      3.8   4.8   5.2   7.5  12.9  14.5  18.2  18.2  13.9   9.3   6.1   6.2    10.09
 1912      3.6   5.4   7.2   8.8  12.1  13.9  16.1  12.9  11.1   8.2   6.3   6.7     9.37
 1913      4.5   4.8   6.2   8.1  11.4  14.3  14.6  15.2  14.1  10.9   8.4   5.1     9.83
 1914      3.7   6.8   6.1   9.8  10.8  14.5  15.8  16.1  13.3  10.3   6.8   4.6     9.90
 1915      4.1   4.3   5.2   7.9  10.8  14.4  14.6  15.3  13.4   9.1   2.8   5.3     8.96
 1916      7.5   3.8   3.3   8.2  11.6  11.8  15.3  16.4  13.0  10.6   6.8   1.9     9.20
 1917      1.6   0.9   3.2   5.4  12.8  15.2  16.1  15.3  14.0   7.5   7.8   2.3     8.55
 1918      3.8   6.5   5.7   6.7  13.0  13.3  15.4  16.1  11.9   9.3   5.5   6.9     9.53
 1919      2.9   1.9   3.6   7.1  13.5  14.3  13.9  15.7  12.7   7.4   3.3   5.5     8.53
 1920      5.2   6.0   7.2   8.2  11.8  14.4  14.1  13.6  13.0  10.4   6.8   4.2     9.58
 1921      7.3   4.8   7.4   8.0  11.5  14.7  18.5  15.4  14.1  12.8   4.6   6.5    10.51
 1922      3.7   4.4   4.6   5.5  12.7  13.8  13.7  13.6  12.2   8.2   5.9   5.8     8.70
 1923      5.6   5.6   6.5   7.6   9.2  12.5  17.5  15.2  12.5   9.7   3.3   3.8     9.11
 1924      4.7   3.3   4.1   6.9  11.6  13.9  15.3  14.1  13.3  10.1   7.1   6.8     9.29
 1925      5.3   5.2   4.9   7.5  11.6  15.0  16.8  15.4  11.5  10.4   3.6   2.8     9.20
 1926      4.6   6.8   6.3   9.3  10.2  13.6  17.1  16.2  14.4   8.1   5.9   4.2     9.74
 1927      4.6   3.9   7.3   7.9  11.2  12.6  15.9  15.7  12.5  10.5   6.2   2.1     9.24
 1928      5.2   5.8   6.3   8.5  10.9  12.9  16.1  15.3  12.8  10.1   7.6   3.4     9.59
 1929      1.3   0.4   6.2   6.8  11.3  13.3  16.0  15.4  15.3   9.6   6.7   5.8     9.06
 1930      5.6   2.5   5.3   8.3  10.7  15.3  15.2  15.7  13.6  10.5   6.2   4.3     9.47
 1931      3.2   3.9   4.2   7.7  11.4  14.4  15.3  14.4  11.5   8.8   7.8   5.3     9.02
 1932      6.3   2.9   4.7   6.9  10.5  14.1  16.1  17.1  12.9   8.8   6.6   5.7     9.41
 1933      2.2   4.3   7.3   8.8  12.2  15.6  17.8  17.6  14.9  10.1   5.6   1.6     9.86
 1934      4.1   3.8   4.8   8.0  11.3  14.9  18.2  15.4  14.6  10.6   6.1   8.1    10.03
 1935      4.5   5.8   6.6   8.2   9.9  15.1  17.1  16.6  13.6   9.5   6.9   2.8     9.74
 1936      3.7   2.6   7.1   6.3  11.5  14.7  15.3  16.1  14.4   9.4   5.5   5.3     9.35
 1937      5.2   5.6   3.6   9.2  12.2  14.1  16.1  16.9  13.4  10.4   5.1   3.0     9.59
 1938      5.7   5.1   9.1   7.6  10.7  14.4  15.2  16.3  13.8  10.5   9.4   4.4    10.21
 1939      4.2   5.6   5.8   8.8  11.4  14.2  15.5  16.4  14.2   8.2   8.7   3.2     9.70
 1940     -1.4   2.6   6.0   8.7  12.5  16.4  15.1  15.6  12.8   9.6   6.9   3.8     9.06
 1941      0.5   3.5   5.1   6.4   9.4  15.1  17.3  14.7  14.5  10.4   6.6   5.6     9.12
 1942      0.9   0.1   5.2   9.2  11.1  14.4  15.5  16.6  13.6  10.4   4.9   6.7     9.11
 1943      4.9   6.1   6.5  10.5  11.8  14.4  16.4  16.1  13.3  10.6   6.3   3.5    10.05
 1944      5.8   3.6   5.2  10.2  11.4  13.5  16.5  17.0  12.5   9.3   6.2   3.6     9.59
 1945      0.4   7.1   7.9  10.1  12.2  14.6  16.7  15.9  14.4  11.9   7.2   4.9    10.29
 1946      2.7   5.9   5.1   9.9  10.7  13.1  16.3  14.7  14.0   9.8   8.1   3.1     9.46
 1947      2.2  -1.9   3.6   8.6  13.5  15.5  17.0  18.6  14.9  10.6   7.2   5.1     9.65
 1948      5.4   4.7   8.3   9.0  11.4  13.5  15.8  15.1  13.8  10.1   7.3   5.7    10.03
 1949      5.5   5.7   5.1  10.0  11.2  15.3  17.4  16.8  16.3  11.7   6.6   5.8    10.64
 1950      4.2   5.3   7.4   7.6  11.3  16.2  15.9  15.6  12.9   9.6   5.7   1.2     9.43
 1951      3.9   3.7   4.1   6.8  10.1  14.0  16.3  14.8  14.1   9.4   8.5   5.5     9.30
 1952      2.7   3.4   6.6   9.6  13.4  14.4  16.8  15.8  10.7   8.8   4.2   2.8     9.12
 1953      3.3   4.3   5.6   7.3  12.6  14.4  15.5  16.2  13.8   9.7   8.5   6.9     9.87
 1954      2.9   2.6   5.8   7.6  11.2  13.4  14.2  14.6  12.7  11.9   6.9   6.8     9.26
 1955      2.6   1.2   3.2   9.3   9.7  13.8  17.7  18.1  14.2   9.2   7.0   5.4     9.33
 1956      3.6  -0.2   6.2   6.9  11.7  13.1  15.8  13.5  14.3   9.4   6.0   5.7     8.87
 1957      5.5   5.3   9.2   8.9  10.3  15.2  16.3  15.4  12.5  10.8   6.4   4.5    10.06
 1958      3.4   4.7   3.7   7.4  11.1  14.1  15.9  15.8  15.1  10.8   6.4   4.7     9.45
 1959      1.6   4.4   7.3   9.4  12.8  15.2  17.3  17.2  14.9  12.6   7.1   6.0    10.52
 1960      3.8   4.1   6.4   8.9  12.8  16.1  15.1  15.0  13.1  10.3   7.3   3.9     9.75
 1961      3.9   6.9   8.2  10.0  11.0  14.4  15.2  15.4  15.2  10.9   6.0   2.2     9.95
 1962      4.3   4.4   2.8   7.7  10.3  13.7  15.1  14.5  12.6  10.4   5.5   1.8     8.61
 1963     -2.1  -0.7   6.0   8.7  10.6  14.9  15.2  14.3  12.9  11.1   8.2   2.6     8.52
 1964      3.4   4.5   4.3   8.7  13.3  13.8  16.1  15.5  14.1   8.9   7.4   3.6     9.48
 1965      3.3   3.1   5.2   8.0  11.7  14.7  14.0  14.9  12.3  11.0   4.5   4.7     8.99
 1966      2.9   5.7   6.5   7.2  11.0  15.4  15.0  14.7  13.8  10.1   5.6   5.5     9.47
 1967      4.5   5.4   7.0   7.7  10.4  14.0  16.7  15.7  13.5  10.8   5.4   4.2     9.64
 1968      4.4   1.9   6.3   8.1   9.8  14.8  15.0  15.4  13.9  12.5   6.5   3.0     9.32
 1969      5.5   1.0   3.3   7.4  11.2  13.9  16.8  16.4  13.9  13.0   5.4   3.3     9.32
 1970      3.7   2.9   3.7   6.7  13.0  16.4  15.2  16.0  14.4  10.7   7.8   4.3     9.60
 1971      4.5   4.5   4.9   7.9  11.6  12.4  16.9  15.6  14.0  11.3   6.0   6.6     9.72
 1972      3.9   4.3   6.5   8.2  10.5  11.8  15.6  15.1  11.7  10.6   6.3   5.8     9.22
 1973      4.5   4.3   6.2   7.0  11.4  14.8  15.6  16.5  14.3   9.0   6.0   4.9     9.57
 1974      5.9   5.4   5.8   8.2  11.0  13.9  15.2  15.2  12.1   7.8   6.8   8.1     9.64
 1975      6.8   4.4   4.8   8.3   9.9  14.7  17.4  18.7  13.5   9.9   6.3   5.3    10.04
 1976      5.9   4.5   4.8   8.1  12.1  17.0  18.7  17.6  13.4  10.6   6.3   2.0    10.10
 1977      2.8   5.2   6.9   7.2  10.6  12.2  15.9  15.2  13.3  11.8   6.6   6.1     9.51
 1978      3.4   2.8   6.7   6.5  11.7  13.7  14.8  15.0  14.2  11.9   8.5   3.9     9.47
 1979     -0.4   1.2   4.7   7.8  10.0  13.9  16.2  14.9  13.5  11.3   6.8   5.8     8.85
 1980      2.3   5.7   4.7   8.8  11.2  13.8  14.7  15.9  14.7   9.0   6.6   5.6     9.42
 1981      4.9   3.0   7.9   7.8  11.2  13.2  15.5  16.2  14.5   8.6   7.8   0.3     9.28
 1982      2.6   4.8   6.1   8.6  11.6  15.5  16.5  15.7  14.2  10.1   8.0   4.4     9.86
 1983      6.7   1.7   6.4   6.8  10.3  14.4  19.5  17.3  13.7  10.5   7.5   5.6    10.10
 1984      3.8   3.3   4.7   8.1   9.9  14.5  16.9  17.6  13.7  11.1   8.0   5.2     9.75
 1985      0.8   2.1   4.7   8.3  10.9  12.7  16.2  14.6  14.6  11.0   4.1   6.3     8.90
 1986      3.5  -1.1   4.9   5.8  11.1  14.8  15.9  13.7  11.3  11.0   7.8   6.2     8.81
 1987      0.8   3.6   4.1  10.3  10.1  12.8  15.9  15.6  13.6   9.7   6.5   5.6     9.08
 1988      5.3   4.9   6.4   8.2  11.9  14.4  14.7  15.2  13.2  10.4   5.2   7.5     9.80
 1989      6.1   5.9   7.5   6.6  13.0  14.6  18.2  16.6  14.7  11.7   6.2   4.9    10.54
 1990      6.5   7.3   8.3   8.0  12.6  13.6  16.9  18.0  13.2  11.9   6.9   4.3    10.65
 1991      3.3   1.5   7.9   7.9  10.8  12.1  17.3  17.1  14.7  10.2   6.8   4.7     9.58
 1992      3.7   5.4   7.5   8.7  13.6  15.7  16.2  15.3  13.4   7.8   7.4   3.6     9.87
 1993      5.9   4.6   6.7   9.5  11.4  15.0  15.2  14.6  12.4   8.5   4.6   5.5     9.52
 1994      5.3   3.2   7.7   8.1  10.7  14.5  18.0  16.0  12.7  10.2  10.1   6.4    10.29
 1995      4.8   6.5   5.6   9.1  11.6  14.3  18.6  19.2  13.7  12.9   7.7   2.3    10.55
 1996      4.3   2.5   4.5   8.5   9.1  14.4  16.5  16.5  13.6  11.7   5.9   2.9     9.22
 1997      2.5   6.7   8.4   9.0  11.5  14.1  16.7  18.9  14.2  10.2   8.4   5.8    10.56
 1998      5.2   7.3   7.9   7.7  13.1  14.2  15.5  15.9  14.9  10.6   6.2   5.5    10.35
 1999      5.5   5.3   7.4   9.4  12.9  13.9  17.7  16.1  15.6  10.7   7.9   5.0    10.65
 2000      4.9   6.3   7.6   7.8  12.1  15.1  15.5  16.6  14.7  10.3   7.0   5.8    10.32
 2001      3.2   4.4   5.2   7.7  12.6  14.3  17.2  16.8  13.4  13.3   7.5   3.6     9.97
 2002      5.5   7.0   7.6   9.3  11.8  14.4  16.0  17.0  14.4  10.1   8.5   5.7    10.63
 2003      4.5   3.9   7.5   9.6  12.1  16.1  17.6  18.3  14.3   9.2   8.1   4.8    10.54
 2004      5.2   5.4   6.5   9.4  12.1  15.3  15.8  17.6  14.9  10.5   7.7   5.4    10.50
 2005      6.0   4.3   7.2   8.9  11.4  15.5  16.9  16.2  15.2  13.1   6.2   4.4    10.48
 2006      4.3   3.7   4.9   8.6  12.3  15.9  19.7  16.1  16.8  13.0   8.1   6.5    10.87
 2007      7.0   5.8   7.2  11.2  11.9  15.1  15.2  15.4  13.8  10.9   7.3   4.9    10.50
 2008      6.6   5.4   6.1   7.9  13.4  13.9  16.2  16.2  13.5   9.7   7.0   3.5     9.97
 2009      3.0   4.1   7.0  10.0  12.1  14.8  16.1  16.6  14.2  11.6   8.7   3.1    10.14
 2010      1.4   2.8   6.1   8.8  10.7  15.2  17.1  15.3  13.8  10.3   5.2  -0.7     8.86
 2011      3.7   6.4   6.7  11.8  12.2  13.8  15.2  15.4  15.1  12.6   9.6   6.0    10.72
 2012      5.4   3.8   8.3   7.2  11.7  13.5  15.5  16.6  13.0   9.7   6.8   4.8     9.72
 2013      3.5   3.2   2.7   7.5  10.4  13.6  18.3  16.9  13.7  12.5   6.2   6.3     9.61
 2014      5.7   6.2   7.6  10.2  12.2  15.1  17.7  14.9  15.1  12.5   8.6   5.2    10.95
 2015      4.4   4.0   6.4   9.0  10.8  14.0  15.9  15.9  12.6  11.0   9.5   9.7    10.31
 2016      5.4   4.9   5.8   7.5  12.5  15.2  16.9  17.0  16.0  10.9   5.6   6.0    10.34
 2017      4.0   6.1   8.7   8.9  13.2  16.0  16.8  15.6  13.5  12.4   6.8   4.8    10.58
 2018      5.3   2.9   4.9   9.8  13.2  16.1  19.1  16.6  13.7  10.6   8.3   6.9    10.68
 2019      4.0   6.7   7.8   9.1  11.1  14.2  17.5  17.1  14.3  10.0   6.2   5.8    10.34
 2020      6.4   6.3   6.7  10.4  12.5  15.3  15.7 -99.9 -99.9 -99.9 -99.9 -99.9   -99.99
